	Richness	Shannon	Shannon.effective	Simpson	Simpson.effective	Evenness
01.AV555	240	4.46821011658589	87.2	0.0191093498999603	52.33	0.565103318751815
02.AV604	258	4.53668401640753	93.38	0.019255861833619	51.93	0.566290765667194
03.AV612	219	4.22267734968846	68.22	0.0254590537497553	39.28	0.543124501972543
04.AV650	263	4.59173026032397	98.66	0.0204811061054017	48.83	0.571187527382732
05.AV717	250	4.40163464394404	81.58	0.0242844233638201	41.18	0.552567642638689
06.AV718	241	4.26968532016972	71.5	0.0262023833198385	38.16	0.539586128245284
07.AV770	259	4.6169796105238	101.19	0.0189261261337998	52.84	0.575912438571753
08.AV782.2	247	4.56344042558253	95.91	0.0206899118417254	48.33	0.574135579373918
09.AV791	246	4.60636163248586	100.12	0.0172855517295778	57.85	0.579962633922708
10.AV794	246	4.47686928493181	87.96	0.0208250572392746	48.02	0.56365893721973
11.AV833	248	4.58220100965711	97.73	0.0177497813104608	56.34	0.57607341217786
12.AV967	214	4.33049450157937	75.98	0.0265047997740508	37.73	0.559389390820425
13.AV968	231	4.52485947529577	92.28	0.019867599570445	50.33	0.576286818571026
14.AV971	247	4.50510147095461	90.48	0.0220951464034493	45.26	0.566795838653824
15.AV972	252	4.5059191634737	90.55	0.020987173030533	47.65	0.564844057960146
16.AV974	240	4.42129667878207	83.2	0.0221945448049535	45.06	0.559170084032483
17.AV996	231	4.25102454097529	70.18	0.0292176350640062	34.23	0.541411158017427
18.AV551	240	4.55674392291457	95.27	0.0185672028343701	53.86	0.576300363311638
19.AV572	245	4.50325968492163	90.31	0.0198598923280592	50.35	0.567401426086418
20.AV580	252	4.61420545767184	100.91	0.0182665720894333	54.74	0.578418395984708
21.AV586	254	4.69490283500606	109.39	0.0147179953625509	67.94	0.587694097224789
22.AV589	247	4.60988645338344	100.47	0.0188957965766575	52.92	0.579979047151343
23.AV590	245	4.50518153396854	90.48	0.0215083126453692	46.49	0.567643575099851
24.AV591	237	4.51738569941398	91.6	0.022605587722881	44.24	0.572636927947285
25.AV598	241	4.5952939781327	99.02	0.0182622762857662	54.76	0.580735276695035
26.AV608	226	4.44742824985537	85.41	0.0234582672413317	42.63	0.568711825040104
27.AV609	239	4.52784231316365	92.56	0.0192838967078834	51.86	0.573081716627602
28.AV610	242	4.64779519925534	104.35	0.0158004228697845	63.29	0.586927070211021
29.AV611	254	4.66628006124362	106.3	0.0147249472265001	67.91	0.584111182779581
30.AV802	259	4.72495145918426	112.73	0.0157890707316984	63.33	0.589380622515518
31.AV521	241	4.74684564755105	115.22	0.013621897234494	73.41	0.599887783823431
32.AV527	255	4.76417664179245	117.23	0.0142078609513831	70.38	0.595942708740732
33.AV541	245	4.58601177269594	98.1	0.0199479673652796	50.13	0.577828018355123
34.AV542	257	4.75643563151477	116.33	0.0159580089840986	62.66	0.59413673502759
35.AV543	258	4.66285367804601	105.94	0.0176618878566189	56.62	0.582039870968517
36.AV567	259	4.72097444665716	112.28	0.0143010429109467	69.92	0.588884538240531
37.AV568	239	4.60448501034964	99.93	0.0172947633265715	57.82	0.582782259498236
38.AV570	258	4.61084919994047	100.57	0.0177000943019385	56.5	0.575548421350689
39.AV571	265	4.82682328465417	124.81	0.0121519918421036	82.29	0.599616658003288
40.AV579	250	4.59194982604246	98.69	0.0210744731075663	47.45	0.576459223843676
41.AV803	267	4.77227626692259	118.19	0.0137549236796296	72.7	0.592042710377177
42.AV814	265	4.67615601731029	107.36	0.0166929984942589	59.91	0.580899875144789
43.AV583	215	4.40179669793971	81.6	0.021523731149926	46.46	0.56810623888549
44.AV584	239	4.63201315852076	102.72	0.0155643274249511	64.25	0.586266452921586
45.AV587	249	4.73678690204775	114.07	0.0144015998665461	69.44	0.595073586975511
46.AV588	255	4.75351238793165	115.99	0.0133978252853135	74.64	0.594608735462589
47.AV596	239	4.65842404859789	105.47	0.0160088133861289	62.47	0.58960923678556
48.AV597	238	4.70893054208925	110.93	0.013975966197612	71.55	0.596458421621147
49.AV816	224	4.44173516707024	84.92	0.0224059234986598	44.63	0.568916772890816
50.AV817	239	4.35001759910893	77.48	0.0279945510643409	35.72	0.550574728675964
51.AV863	236	4.56382519040215	95.95	0.0181630694685251	55.06	0.578971439125565
52.AV864	238	4.57969651785101	97.48	0.0198966657812701	50.26	0.580088946338403
53.AV865	235	4.77522704605621	118.54	0.0122923333877051	81.35	0.606261254619495
54.AV866	235	4.69974098977583	109.92	0.0151330270255751	66.08	0.596677569750601
