	Richness	Shannon	Shannon.effective	Simpson	Simpson.effective	Evenness
01.AV967	220	4.34374770471375	77	0.0228323079520261	43.8	0.558224765931839
02.AV968	235	4.15253430812896	63.59	0.0312556183738226	31.99	0.527204389490955
03.AV971	239	4.045746784979	57.15	0.032436432975418	30.83	0.512063661279842
04.AV972	244	4.42060656942731	83.15	0.0203467240273245	49.15	0.557401712005981
05.AV974	239	4.31800327327591	75.04	0.0228204860442811	43.82	0.546522726963863
06.AV996	232	3.89936322282938	49.37	0.0494944136020622	20.2	0.496229658133205
08.AV583	223	4.02386467662804	55.92	0.0324130731470327	30.85	0.515820575606816
09.AV584	238	4.39740792728844	81.24	0.0236313813197213	42.32	0.556999294869843
10.AV587	257	4.66819867665345	106.51	0.0155093648977164	64.48	0.583114864801336
11.AV588	250	4.62131009502135	101.63	0.0179429963723859	55.73	0.580145021491426
12.AV596	251	4.37752822466118	79.64	0.0338519677342713	29.54	0.549144365207869
13.AV597	250	4.47288889373625	87.61	0.0197444904392681	50.65	0.561512681475531
16.AV816	226	4.3155111099988	74.85	0.0256175846357652	39.04	0.551843011616449
17.AV817	233	4.23778845763404	69.25	0.0312423178713606	32.01	0.538871839969696
18.AV863	241	4.38966169978319	80.61	0.0224780222720013	44.49	0.55474827376704
19.AV864	238	4.5065607200639	90.61	0.0206753699849584	48.37	0.570825173572549
24.AV580	246	4.28660314999619	72.72	0.0277065998768587	36.09	0.539703534329661
25.AV608	231	4.18042627369776	65.39	0.0340572197823035	29.36	0.532419751528867
32.AV572	255	4.56858780481377	96.41	0.0191031180141679	52.35	0.571476835606215
33.AV586	248	4.7132152838111	111.41	0.0143955269265355	69.47	0.592544501027265
34.AV589	241	4.47555182986539	87.84	0.0265631970938687	37.65	0.565602732414521
35.AV590	237	4.46867633698282	87.24	0.0197532954828343	50.62	0.566462387732914
36.AV591	238	4.45135755342045	85.74	0.0233564821498585	42.81	0.563832844135888
37.AV598	245	4.55821483113966	95.41	0.0195472393352469	51.16	0.574325661088744
40.AV521	245	4.72278236334543	112.48	0.0139081659612258	71.9	0.595060830498079
41.AV527	262	4.76055700224386	116.81	0.0132217840718561	75.63	0.592593842168248
42.AV541	266	4.65115130392835	104.71	0.0155981938901316	64.11	0.577403876421493
43.AV542	250	4.55681535574453	95.28	0.024181261250803	41.35	0.57204855076462
44.AV543	261	4.70730069842513	110.75	0.0146933332658709	68.06	0.586367192196376
45.AV571	253	4.76313201116881	117.11	0.0131775668204258	75.89	0.596659882862452
48.AV551T	220	4.26220335186554	70.97	0.0247736693924328	40.37	0.547745318142467
49.AV555T	190	3.77099765347663	43.42	0.0553403441891132	18.07	0.498159786472873
50.AV555TA	210	4.03734327821319	56.68	0.0385256350963656	25.96	0.523362040910859
51.AV612T	236	4.22218330518586	68.18	0.0264222584540659	37.85	0.535630407053339
52.AV612TA	232	4.45009034691445	85.63	0.0203526446683495	49.13	0.566314725076808
53.AV650T	258	4.62447448677633	101.95	0.0176122671607142	56.78	0.577249195327191
54.AV650TA	263	4.51125993365917	91.04	0.0204720895731911	48.85	0.561177434387395
55.AV717T	245	3.67099159673059	39.29	0.0899688118852906	11.11	0.462537364680634
56.AV718T	208	4.02745847482086	56.12	0.0342652826489691	29.18	0.523016687648728
66.AV604T	242	4.14525056593358	63.13	0.0357554005463757	27.97	0.523465356292759
67.AV770T	256	4.6443304827777	103.99	0.0160894876374847	62.15	0.580541310347212
68.AV791T	255	4.47491383560326	87.79	0.0223927484248554	44.66	0.559759318992725
69.AV782.2T	253	4.65575857318858	105.19	0.0161230769177879	62.02	0.583209610483354
70.AV794T	237	4.29419581067086	73.27	0.0286859485539374	34.86	0.544344729595629
71.AV604TA	235	4.06232668664479	58.11	0.0432276358176285	23.13	0.515751659547486
72.AV770TA	250	4.55599955487552	95.2	0.0193054092103482	51.8	0.571946137638699
73.AV791TA	249	4.38137082085216	79.95	0.0303242746257025	32.98	0.550423336356382
74.AV782.2TA	242	4.6380405630364	103.34	0.0176856500808309	56.54	0.585695247419459
75.AV794TA	229	4.37518391071223	79.45	0.0219319755003972	45.6	0.558115853214011
76.AV833T	258	4.37917214177849	79.77	0.0267255661194689	37.42	0.546629374271461
79.AV567	247	4.53468876647612	93.19	0.0205442861264866	48.68	0.570518275559348
80.AV568	244	4.40169111686674	81.59	0.0265626283436623	37.65	0.555016630801617
81.AV570	243	4.15566248622837	63.79	0.0426586771583734	23.44	0.524386221672444
82.AV579	248	4.2721630957893	71.68	0.0311825579828355	32.07	0.53709550645746
83.AV814	244	4.3317712500489	76.08	0.02835386336208	35.27	0.546200317280973
84.AV803	263	4.68708156479347	108.54	0.0162529904451585	61.53	0.583048737154408
85.AV865	247	4.74666627680421	115.2	0.0127621619662225	78.36	0.597187590671733
86.AV866	248	4.55629635147336	95.23	0.0191725021884193	52.16	0.572816683631957
91.AV609	246	4.39958584085522	81.42	0.0249873165100932	40.02	0.553928587464041
92.AV610	236	4.48747714185676	88.9	0.0216389336518062	46.21	0.569285849144223
93.AV611	258	4.64617905546001	104.19	0.0151627611683192	65.95	0.579958464205936
94.AV802	256	4.73103083611495	113.41	0.0140276357837229	71.29	0.591378854514369
